task,Previous Emotion,V,A,Current emotion
1,2,3,2,happy
2,1,3,2,happy
2,1,3,2,happy
2,2,1,4,happy
1,2,3,2,happy
3,2,3,2,happy
3,2,3,2,happy
2,4,3,2,happy
2,2,2,4,happy
3,5,3,2,happy
2,2,0,3,happy
3,5,1,4,happy
2,4,3,4,happy
1,4,1,4,happy
2,2,2,4,happy
1,5,0,3,happy
3,4,1,4,interested
1,4,1,0,interested
3,3,3,2,interested
2,4,3,2,interested
2,1,3,2,interested
3,3,3,2,interested
2,4,2,4,interested
2,2,1,2,interested
2,4,1,4,interested
3,4,2,4,interested
3,2,3,2,sad
3,3,1,4,sad
3,5,1,2,sad
2,5,3,2,sad
1,1,3,2,sad
2,4,3,2,sad
1,5,2,2,sad
1,3,3,2,sad
1,3,3,2,sad
1,3,1,0,sad
1,3,1,4,sad
1,1,1,4,sad
2,3,1,4,sad
3,4,0,3,sad
3,5,1,4,worried
1,1,3,2,worried
1,3,3,2,worried
3,2,3,2,worried
3,3,3,2,worried
3,1,2,4,worried
1,2,1,4,worried
3,1,1,4,worried
1,2,3,2,worried
1,5,2,0,stern
2,2,1,4,stern
3,4,1,4,stern
3,5,1,0,stern
2,5,3,2,stern
3,3,3,2,stern
2,3,2,4,stern
3,4,2,4,stern
2,5,1,4,stern
