@relation emotion
@attribute affect real
@attribute task real
@attribute prevEmotion real
@attribute class {happy,Interesting, sad, worried, stern}
@data,
1,3,2,happy
1,2,1,happy
2,3,1,happy
1,1,1,happy
2,2,2,happy
4,3,2,happy
3,1,1,happy
3,3,1,happy
2,2,1,happy
2,1,2,happy
2,3,4,happy
2,3,1,happy
2,3,1,happy
2,1,2,happy
3,2,1,happy
1,2,1,happy
2,1,1,happy
3,1,2,happy
1,3,3,happy
3,1,2,happy
2,1,2,happy
1,1,2,happy
1,3,2,happy
2,2,1,happy
1,2,2,happy
2,1,3,happy
2,3,3,happy
1,3,2,happy
2,2,1,happy
2,1,1,happy
4,2,2,happy
1,1,2,happy
3,1,1,happy
1,2,1,happy
2,3,2,happy
2,3,1,happy
2,1,1,happy
1,3,1,happy
1,3,2,happy
1,1,2,happy
3,3,2,happy
1,3,1,happy
3,3,3,happy
2,3,2,happy
2,3,2,happy
2,3,1,happy
2,3,1,happy
2,2,1,happy
2,3,2,happy
2,2,3,happy
2,2,1,happy
3,2,1,happy
1,3,1,happy
2,1,2,happy
1,3,1,happy
2,1,2,happy
2,3,2,happy
2,2,1,happy
1,3,1,happy
1,3,2,happy
1,1,1,happy
1,3,2,happy
1,3,1,happy
2,1,1,happy
2,3,1,happy
1,3,1,happy
3,3,2,happy
2,2,2,happy
3,2,3,happy
4,1,1,happy
3,3,1,happy
1,3,2,happy
2,3,1,happy
3,2,3,happy
1,3,2,happy
1,1,1,happy
2,1,1,happy
2,2,2,happy
1,3,1,happy
1,2,1,happy
2,2,1,happy
1,3,1,happy
1,3,1,happy
2,3,1,happy
3,3,1,happy
2,3,1,happy
1,3,2,happy
1,1,2,happy
3,3,1,happy
4,1,2,happy
1,2,1,happy
2,3,2,happy
3,3,2,happy
2,2,2,happy
2,3,2,happy
2,2,1,happy
1,3,3,happy
2,3,2,happy
1,3,1,happy
4,1,2,happy
1,3,2,Interesting
3,1,3,Interesting
1,3,1,Interesting
2,2,2,Interesting
3,1,2,Interesting
3,1,2,Interesting
3,2,2,Interesting
2,2,3,Interesting
2,2,4,Interesting
5,2,1,Interesting
2,3,3,Interesting
2,2,3,Interesting
4,2,2,Interesting
4,1,2,Interesting
4,1,2,Interesting
3,3,3,Interesting
3,3,2,Interesting
4,3,2,Interesting
2,1,3,Interesting
2,1,2,Interesting
1,3,3,Interesting
4,2,2,Interesting
5,2,3,Interesting
3,1,2,Interesting
1,1,3,Interesting
1,2,2,Interesting
2,2,3,Interesting
3,2,2,Interesting
3,3,3,Interesting
3,3,2,Interesting
1,2,2,Interesting
1,3,1,Interesting
1,3,3,Interesting
1,3,3,Interesting
3,2,2,Interesting
2,3,1,Interesting
1,3,2,Interesting
3,1,2,Interesting
3,2,2,Interesting
4,3,3,Interesting
1,3,1,Interesting
2,3,2,Interesting
4,3,2,Interesting
4,3,1,Interesting
1,3,3,Interesting
3,2,2,Interesting
2,1,2,Interesting
2,2,2,Interesting
4,2,2,Interesting
2,1,1,Interesting
3,1,1,Interesting
3,1,2,Interesting
1,1,2,Interesting
3,3,2,Interesting
2,2,2,Interesting
2,2,4,Interesting
2,3,1,Interesting
1,2,4,Interesting
2,3,2,Interesting
1,3,1,Interesting
5,2,3,Interesting
3,3,2,Interesting
1,2,1,Interesting
1,1,2,Interesting
1,3,1,Interesting
3,2,2,Interesting
2,2,1,Interesting
3,1,3,Interesting
2,3,3,Interesting
5,1,3,Interesting
2,2,3,Interesting
4,3,3,Interesting
3,2,2,Interesting
3,3,4,Interesting
4,3,2,Interesting
2,1,2,Interesting
1,3,3,Interesting
1,3,1,Interesting
2,3,5,Interesting
2,1,1,Interesting
2,3,3,Interesting
5,3,3,Interesting
1,3,1,Interesting
1,3,1,Interesting
4,2,2,Interesting
5,3,2,Interesting
1,2,2,Interesting
3,3,2,Interesting
1,1,2,Interesting
2,1,4,Interesting
2,1,2,Interesting
2,3,2,Interesting
2,1,2,Interesting
1,2,3,Interesting
2,1,2,Interesting
1,2,3,Interesting
2,2,1,Interesting
2,3,1,Interesting
2,2,1,Interesting
2,3,3,Interesting
3,2,2,sad
2,2,4,sad
3,1,3,sad
5,3,4,sad
2,1,3,sad
5,1,3,sad
2,3,4,sad
4,1,3,sad
2,1,3,sad
5,3,4,sad
5,3,4,sad
2,3,2,sad
3,2,3,sad
4,1,4,sad
3,1,1,sad
3,3,3,sad
1,3,5,sad
1,3,3,sad
4,1,3,sad
4,3,4,sad
5,2,5,sad
1,3,4,sad
3,3,2,sad
2,1,3,sad
4,3,2,sad
2,2,3,sad
4,1,1,sad
2,2,2,sad
5,1,4,sad
4,1,3,sad
1,3,2,sad
1,1,4,sad
3,2,3,sad
4,2,4,sad
5,2,3,sad
4,3,2,sad
1,2,2,sad
3,3,2,sad
5,2,3,sad
4,1,4,sad
4,2,3,sad
5,1,3,sad
3,2,2,sad
3,2,1,sad
3,1,2,sad
3,3,3,sad
3,3,3,sad
2,2,2,sad
2,2,2,sad
4,2,2,sad
2,2,4,sad
2,1,3,sad
1,1,3,sad
1,2,4,sad
4,2,4,sad
2,2,2,sad
4,3,1,sad
5,3,2,sad
3,2,4,sad
4,2,3,sad
3,1,2,sad
4,3,3,sad
3,2,3,sad
5,1,3,sad
2,3,3,sad
2,1,2,sad
4,3,4,sad
3,2,3,sad
2,3,2,sad
1,2,1,sad
2,2,2,sad
4,2,2,sad
4,1,4,sad
4,3,2,sad
4,3,4,sad
3,3,2,sad
4,1,2,sad
3,2,3,sad
4,2,3,sad
3,2,4,sad
4,2,2,sad
1,3,4,sad
3,1,2,sad
1,1,4,sad
1,2,4,sad
3,3,3,sad
5,3,2,sad
2,3,1,sad
4,1,2,sad
2,2,3,sad
4,2,1,sad
2,2,4,sad
2,2,5,sad
3,3,3,sad
5,2,3,sad
4,2,2,sad
3,3,3,sad
5,2,2,sad
3,2,4,sad
4,1,4,sad
4,3,3,worried
2,1,5,worried
5,3,4,worried
4,2,4,worried
4,1,4,worried
5,3,2,worried
4,3,5,worried
4,1,4,worried
5,2,3,worried
4,1,4,worried
5,2,4,worried
4,3,5,worried
3,1,4,worried
5,1,2,worried
2,3,5,worried
3,3,3,worried
5,1,5,worried
3,3,5,worried
4,1,4,worried
4,1,3,worried
4,1,3,worried
5,3,3,worried
3,2,3,worried
1,1,5,worried
5,3,3,worried
3,3,4,worried
4,1,4,worried
5,1,4,worried
2,3,5,worried
5,1,4,worried
4,2,4,worried
3,3,4,worried
5,3,4,worried
5,2,4,worried
5,2,3,worried
4,3,4,worried
4,1,3,worried
3,2,3,worried
4,1,2,worried
2,2,2,worried
2,1,4,worried
4,2,3,worried
5,1,5,worried
5,3,2,worried
5,1,3,worried
3,2,5,worried
4,3,4,worried
5,3,4,worried
3,2,3,worried
2,3,2,worried
3,3,4,worried
5,2,4,worried
4,2,4,worried
4,3,3,worried
2,1,5,worried
3,3,5,worried
3,2,4,worried
2,1,4,worried
5,2,4,worried
2,3,4,worried
4,1,5,worried
3,3,4,worried
4,3,3,worried
4,3,4,worried
5,1,3,worried
3,3,3,worried
5,1,2,worried
5,3,5,worried
4,1,4,worried
4,3,4,worried
3,3,4,worried
5,2,3,worried
2,2,4,worried
3,2,5,worried
3,2,4,worried
5,2,5,worried
5,2,5,worried
5,1,5,worried
5,2,3,worried
4,3,3,worried
2,3,4,worried
2,2,3,worried
4,2,5,worried
5,1,3,worried
5,3,5,worried
3,2,3,worried
3,3,5,worried
3,1,5,worried
5,3,4,worried
3,1,4,worried
3,3,4,worried
5,3,5,worried
5,2,3,worried
4,2,3,worried
3,2,5,worried
4,2,5,worried
2,3,4,worried
5,1,2,worried
5,3,4,worried
4,1,5,worried
4,3,3,stern
3,3,3,stern
4,2,5,stern
5,2,5,stern
5,2,5,stern
5,2,4,stern
4,1,5,stern
4,3,4,stern
4,1,4,stern
5,2,5,stern
4,2,5,stern
5,3,5,stern
4,2,5,stern
4,3,5,stern
5,2,5,stern
5,1,3,stern
2,2,5,stern
5,2,5,stern
5,2,5,stern
4,3,5,stern
3,3,5,stern
1,3,5,stern
4,3,4,stern
4,2,5,stern
3,1,4,stern
5,3,5,stern
5,2,4,stern
5,3,5,stern
4,1,5,stern
3,3,5,stern
4,2,4,stern
3,3,5,stern
5,2,4,stern
2,1,5,stern
4,2,4,stern
5,3,5,stern
5,2,4,stern
4,3,4,stern
5,3,4,stern
5,2,5,stern
5,3,5,stern
2,2,4,stern
5,2,2,stern
5,2,5,stern
4,2,5,stern
5,3,2,stern
4,2,5,stern
5,1,5,stern
5,1,5,stern
5,1,4,stern
2,2,5,stern
3,3,4,stern
5,2,4,stern
5,3,5,stern
4,3,5,stern
4,3,5,stern
5,1,5,stern
5,1,4,stern
5,2,4,stern
4,1,4,stern
5,2,4,stern
2,2,5,stern
5,1,5,stern
2,3,5,stern
5,3,4,stern
5,3,5,stern
5,1,5,stern
4,3,4,stern
2,1,5,stern
2,2,4,stern
3,3,5,stern
4,2,4,stern
4,3,4,stern
5,2,4,stern
3,3,4,stern
4,3,5,stern
4,1,5,stern
4,3,5,stern
4,3,4,stern
4,2,5,stern
5,3,5,stern
5,2,5,stern
3,3,5,stern
3,1,5,stern
2,3,3,stern
3,3,4,stern
2,3,5,stern
3,2,5,stern
4,3,4,stern
5,2,5,stern
5,2,5,stern
4,3,4,stern
5,3,4,stern
3,2,4,stern
4,1,4,stern
3,2,4,stern
5,3,4,stern
3,1,5,stern
5,1,3,stern
4,2,4,stern
