@relation emotion
@attribute prevEmotion real
@attribute v real
@attribute a real
@attribute class {happy,interested, sad, worried, stern}
@data,
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,happy
1,3,2,happy
2,3,2,interested
2,3,2,happy
1,3,2,happy
1,3,2,interested
2,2,2,interested
2,3,2,interested
2,3,2,happy
1,3,2,happy
1,3,2,interested
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,interested
2,3,2,worried
4,3,2,worried
4,3,2,interested
2,3,2,interested
1,0,1,happy
1,0,1,interested
2,0,1,interested
2,0,2,interested
2,0,1,interested
2,0,2,interested
2,0,2,interested
2,0,1,interested
4,0,2,worried
4,0,2,interested
2,0,2,interested
2,0,1,interested
2,0,1,worried
4,0,1,worried
4,0,1,interested
2,0,1,interested
1,0,3,happy
1,2,3,happy
1,0,3,happy
1,0,2,happy
1,0,2,interested
2,0,3,interested
2,0,2,interested
2,0,0,interested
2,0,2,interested
2,0,3,interested
2,0,3,worried
1,0,1,happy
1,0,1,happy
1,0,1,interested
2,0,1,interested
2,0,1,interested
2,0,0,interested
2,0,0,interested
2,0,3,interested
2,0,0,interested
2,0,1,interested
2,0,0,interested
2,0,0,interested
2,0,3,interested
2,0,3,interested
2,0,3,interested
1,0,1,happy
1,0,1,happy
1,0,1,interested
2,0,1,interested
2,1,2,interested
2,0,1,interested
2,0,1,worried
4,0,1,worried
4,0,1,worried
4,0,1,worried
4,0,1,worried
4,0,1,happy
1,3,2,happy
1,3,2,interested
1,0,1,happy
1,0,1,interested
2,0,1,interested
2,0,3,interested
2,0,3,sad
3,0,3,sad
3,0,1,sad
3,0,3,sad
3,0,3,worried
4,0,3,worried
4,0,3,interested
2,0,3,interested
2,0,1,interested
2,0,3,interested
2,0,3,worried
4,0,3,worried
4,0,3,stern
5,0,3,stern
5,0,3,worried
1,0,1,happy
1,0,1,interested
2,0,1,interested
2,2,3,interested
2,0,0,interested
2,0,1,interested
2,2,4,interested
2,0,1,interested
2,2,2,interested
2,2,2,interested
2,2,2,interested
2,2,2,sad
3,3,2,sad
3,3,2,worried
4,2,2,worried
4,2,2,worried
4,3,2,worried
4,3,2,worried
4,3,2,sad
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,sad
3,3,2,sad
3,3,2,interested
2,3,2,interested
1,2,2,happy
1,2,2,interested
2,2,2,interested
2,2,2,interested
2,2,4,interested
2,2,4,happy
1,2,4,happy
1,2,4,interested
2,2,4,interested
2,2,2,interested
2,2,2,interested
2,2,4,interested
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,interested
2,4,2,interested
2,3,2,interested
2,3,2,happy
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,happy
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,interested
2,4,2,interested
2,3,2,interested
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,2,2,interested
2,3,2,interested
2,3,2,worried
4,3,2,worried
4,3,2,interested
2,3,2,interested
2,3,2,sad
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,4,2,interested
2,3,2,interested
2,3,2,interested
2,3,3,interested
2,3,2,interested
2,3,2,happy
1,4,2,happy
1,4,2,interested
2,4,2,interested
2,4,2,happy
1,4,2,happy
1,2,4,happy
1,2,4,interested
2,2,4,interested
2,2,4,worried
4,2,4,worried
4,2,2,worried
4,2,2,happy
1,2,4,happy
2,2,2,interested
2,2,1,interested
2,2,1,interested
2,2,4,interested
2,2,1,interested
2,2,4,interested
2,2,2,interested
2,2,2,happy
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,interested
2,3,2,interested
2,2,4,interested
2,3,2,interested
1,3,2,happy
1,2,2,happy
1,3,2,happy
1,2,2,happy
1,2,2,interested
2,2,2,interested
2,3,2,interested
2,3,2,stern
5,3,2,stern
5,3,2,worried
4,3,2,worried
4,3,2,stern
5,3,2,stern
5,3,2,worried
4,3,2,worried
4,3,2,interested
2,3,2,interested
1,3,2,happy
1,3,2,interested
2,3,2,interested
2,3,2,interested
2,3,2,interested
1,2,4,happy
1,1,2,happy
1,1,2,interested
2,2,2,interested
2,2,4,interested
2,3,2,interested
2,4,2,interested
2,3,2,interested
2,4,2,interested
2,3,2,interested
2,3,2,interested
2,3,2,interested
1,2,2,happy
1,3,2,happy
1,3,2,interested
2,2,1,interested
4,2,2,worried
4,2,2,interested
2,2,2,interested
2,4,2,interested
2,2,2,interested
2,4,2,interested
2,4,2,happy
1,3,2,happy
1,3,2,interested
1,2,2,happy
1,4,2,happy
1,4,2,interested
2,4,2,interested
2,2,1,interested
2,2,1,sad
3,2,2,sad
3,2,2,happy
1,2,2,happy
1,2,2,interested
2,4,2,interested
2,4,2,happy
1,2,2,happy
1,2,2,happy
1,2,2,interested
2,2,2,interested
2,2,2,worried
4,2,2,worried
4,2,2,stern
5,2,1,stern
5,2,1,stern
5,3,2,stern
5,3,2,worried
4,3,2,worried
4,3,2,interested
2,3,2,interested
2,3,2,happy
1,3,2,happy
1,3,2,interested
