@relation emotion,,,,
@attribute task real,,,,
@attribute prevEmotion real,,,,
@attribute v real,,,,
@attribute a real,,,,
@attribute class {happy,interested, sad, worried, stern}
@data,,,,
2,1,0,3,happy
2,1,2,3,happy
2,1,0,3,happy
2,1,0,2,happy
2,1,0,2,interested
2,2,0,3,interested
2,2,0,2,interested
2,2,0,0,interested
2,2,0,2,interested
2,2,0,3,interested
2,2,0,3,worried
2,1,0,1,happy
2,1,0,1,interested
2,2,0,1,interested
2,2,0,3,interested
2,2,0,3,sad
2,3,0,3,sad
2,3,0,1,sad
2,3,0,3,sad
2,3,0,3,worried
2,4,0,3,worried
2,4,0,3,interested
2,2,0,3,interested
2,2,0,1,interested
2,2,0,3,interested
2,2,0,3,worried
2,4,0,3,worried
2,4,0,3,stern
2,5,0,3,stern
2,5,0,3,worried
1,1,0,1,happy
1,1,0,1,interested
1,2,0,1,interested
1,2,2,3,interested
1,2,0,0,interested
1,2,0,1,interested
1,2,2,4,interested
1,2,0,1,interested
2,2,2,2,interested
2,2,2,2,interested
2,2,2,2,interested
2,2,2,2,sad
2,3,3,2,sad
2,3,3,2,worried
2,4,2,2,worried
2,4,2,2,worried
2,4,3,2,worried
2,4,3,2,worried
2,4,3,2,sad
2,1,3,2,happy
2,1,3,2,interested
2,2,3,2,interested
2,2,3,2,sad
2,3,3,2,sad
2,3,3,2,interested
2,2,3,2,interested
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,2,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,2,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,4,2,happy
1,1,4,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,4,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,4,2,happy
1,1,4,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,4,2,interested
1,2,3,2,interested
1,2,3,2,happy
1,1,4,2,happy
1,1,3,2,happy
1,1,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,3,2,interested
1,2,2,4,interested
1,2,3,2,interested
1,1,3,2,happy
2,1,2,2,happy
2,1,3,2,happy
2,1,2,2,happy
2,1,2,2,interested
2,2,2,2,interested
2,2,3,2,interested
2,2,3,2,stern
2,5,3,2,stern
2,5,3,2,worried
2,4,3,2,worried
2,4,3,2,stern
2,5,3,2,stern
2,5,3,2,worried
2,4,3,2,worried
2,4,3,2,interested
2,2,3,2,interested
2,1,2,2,happy
2,1,3,2,happy
2,1,2,2,happy
2,1,2,2,interested
2,2,2,2,interested
2,2,3,2,interested
2,2,3,2,stern
2,5,3,2,stern
2,5,3,2,worried
2,4,3,2,worried
2,4,3,2,stern
2,5,3,2,stern
2,5,3,2,worried
2,4,3,2,worried
2,4,3,2,interested
2,2,3,2,interested
2,1,2,2,happy
2,1,3,2,happy
2,1,3,2,interested
2,2,2,1,interested
2,4,2,2,worried
2,4,2,2,interested
2,2,2,2,interested
2,2,4,2,interested
2,2,2,2,interested
2,2,4,2,interested
2,2,4,2,happy
2,1,3,2,happy
2,1,3,2,interested
2,1,2,2,happy
2,1,3,2,happy
2,1,3,2,interested
2,2,2,1,interested
2,4,2,2,worried
2,4,2,2,interested
2,2,2,2,interested
2,2,4,2,interested
2,2,2,2,interested
2,2,4,2,interested
2,2,4,2,happy
2,1,3,2,happy
2,1,3,2,interested
2,1,2,2,happy
2,1,2,2,interested
2,2,2,2,interested
2,2,2,2,worried
2,4,2,2,worried
2,4,2,2,stern
2,5,2,1,stern
2,5,2,1,stern
2,5,3,2,stern
2,5,3,2,worried
2,4,3,2,worried
2,4,3,2,interested
2,2,3,2,interested
2,2,3,2,happy
2,1,3,2,happy
2,1,3,2,interested
